s,type,g
http://dbpedia.org/resource/Kangaroo_Island_emu,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q19735183,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Chah-e_Naz_Bibi,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/2014_Italian_Grand_Prix,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Vincent_Han-Sun_Chiang,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Marko_Kvasina,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Marie_Wainwright__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Paisa_Vasool,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/933_Susi__Beltasteroid-stub__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Sergei_Prigoda__9,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Luis_Asprilla__11,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Arnold_Burns__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Eklil_Ahmad_Hakimi__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Stephanite,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ágota_Lykovcán,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/8th_arrondissement_of_Marseille,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Yenikonacık,_Pozantı",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/1910_Notre_Dame_Fighting_Irish_football_team,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Irma_Keller,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Memorial_Composite_High_School,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-shepard,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Zofia_Potocka,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/property/openToPublic,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://dbpedia.org
"http://dbpedia.org/resource/Our_Lady_Star_of_the_Sea_and_St_Winefride,_Amlwch",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ectoedemia_nigrifasciata,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Rasmus_Lindgren_(footballer,_born_1994)__3",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Phiala,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Mar_Jain_Bhi_To_Kya__Mar_Jain_Bhi_To_Kya__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#LianeDePougy,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/SUMO#
http://www.wikidata.org/entity/Q7946544,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/William_Ewart_Gladstone__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Bernard_Garfield,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Diana_Davies_(actress),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Shō_Sei,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-flank_NN_3,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
#WN30WordSense-lapp_NN_2,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Eric_Van_Meir__8,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-niels_abel_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
#WN30WordSense-yellowthroat_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
#WN30Word-wedding_license,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Castelraimondo,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Blue_Scholars,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q14886047,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Imazapic,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ruard_Acronius,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Gareth_Gates_discography,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
